index,strategy,utility,reserved_value,advantage,partner_welfare,welfare,scenario,partners,time,negotiator_id,has_error,self_error,mechanism_error,error_details,mechanism_name,nash_optimality,kalai_optimality,max_welfare_optimality,pareto_optimality
0,Shochan,0.6156814398606828,0.34365556411290143,0.4207716282377241,0.5657191320532067,0.5907002859569448,DivideThePies3,AwesomeNegotiator,7.117074470414082,nGBYmhjUB,False,False,False,,-2108990114438646387,0.9990251787417211,1.0,0.9994606504480416,1.0
1,AwesomeNegotiator,0.5657191320532067,0.24015350268590402,0.4454947689367096,0.6156814398606828,0.5907002859569448,DivideThePies3,Shochan,0.11680059797072317,n4Uji3bNv,False,False,False,,-2108990114438646387,0.9990251787417211,1.0,0.9994606504480416,1.0
2,Shochan,0.7298705972577952,0.5209143183374337,0.44616485247496607,0.8394125660549024,0.7846415816563488,S6,Shochan,1.1694603868818376,nvfeavRsk,False,False,False,,-6075800694726657397,0.8179174759252956,0.7539742097786291,0.9954660758485427,1.0
3,Shochan,0.8394125660549024,0.13140475186614992,0.8151182247009621,0.7298705972577952,0.7846415816563488,S6,Shochan,2.430949326182599,nZA8F7HHe,False,False,False,,-6075800694726657397,0.8179174759252956,0.7539742097786291,0.9954660758485427,1.0
4,RVFitter,0.6048254205777416,0.47816550427842364,0.24781880540616977,0.6233193207992926,0.6140723706885172,S1,AwesomeNegotiator,0.0017744579672580585,nD8KZgNar,False,False,False,,3471578163206708625,0.7123013894827407,0.8127321189430222,0.8226962114332229,0.9877228056647098
5,AwesomeNegotiator,0.6233193207992926,0.16875877490473085,0.5524676877685776,0.6048254205777416,0.6140723706885172,S1,RVFitter,0.002808333985740319,nQpiWiUAb,False,False,False,,3471578163206708625,0.7123013894827407,0.8127321189430222,0.8226962114332229,0.9877228056647098
6,Shochan,0.8261254594602245,0.3601466409842349,0.7282587672787517,0.1777308348070542,0.5019281471336394,S9,RVFitter,9.04834210955596,nBFGYNgrN,False,False,False,,-4700044002839919269,0.7649032832837168,0.790815803008782,0.9673630107989645,1.0
7,RVFitter,0.1777308348070542,0.1373045019914979,0.0468604889081708,0.8261254594602245,0.5019281471336394,S9,Shochan,0.2188578749774024,nddUajlTr,False,False,False,,-4700044002839919269,0.7649032832837168,0.790815803008782,0.9673630107989645,1.0
8,Shochan,0.46907373956157705,0.46907373956157705,0.0,0.4850247405592664,0.4770492400604217,S5,AwesomeNegotiator,1.0115009412693325,nj0B4HDzG,False,False,False,,-7900902989437049286,0.9713060613383084,0.9713060613383084,0.9465588937241585,0.9713060613383084
9,AwesomeNegotiator,0.4850247405592664,0.4850247405592664,0.0,0.46907373956157705,0.4770492400604217,S5,Shochan,0.01099355667247437,nGVkkB7D6,False,False,False,,-7900902989437049286,0.9713060613383084,0.9713060613383084,0.9465588937241585,0.9713060613383084
10,Shochan,0.46907373956157705,0.46907373956157705,0.0,0.4850247405592664,0.4770492400604217,S5,AwesomeNegotiator,1.0154030103585683,nxR2qyTLf,False,False,False,,-3312290437538587768,0.9713060613383084,0.9713060613383084,0.9465588937241585,0.9713060613383084
11,AwesomeNegotiator,0.4850247405592664,0.4850247405592664,0.0,0.46907373956157705,0.4770492400604217,S5,Shochan,0.010757661730167456,nzktpTjk2,False,False,False,,-3312290437538587768,0.9713060613383084,0.9713060613383084,0.9465588937241585,0.9713060613383084
12,Shochan,0.6417740128808425,0.19652485722914453,0.5541542381961146,0.4759211973984305,0.5588476051396365,S4,RVFitter,0.08535903405572753,naK8nER3f,False,False,False,,2498106556373190310,0.9009909018167631,0.9009909018167631,0.9996896712833225,1.0
13,RVFitter,0.4759211973984305,0.16424952297751227,0.37292431531873593,0.6417740128808425,0.5588476051396365,S4,Shochan,0.0027850350161315873,nPazvfULH,False,False,False,,2498106556373190310,0.9009909018167631,0.9009909018167631,0.9996896712833225,1.0
14,RVFitter,0.46907373956157705,0.46907373956157705,0.0,0.4850247405592664,0.4770492400604217,S5,UOAgent,0.3816034841001965,nKoWAYRlF,False,False,False,,6727287833729665004,0.9713060613383084,0.9713060613383084,0.9465588937241585,0.9713060613383084
15,UOAgent,0.4850247405592664,0.4850247405592664,0.0,0.46907373956157705,0.4770492400604217,S5,RVFitter,0.02248335487092845,nv4ccfU9B,False,False,False,,6727287833729665004,0.9713060613383084,0.9713060613383084,0.9465588937241585,0.9713060613383084
16,UOAgent,0.7448929607930865,0.34365556411290143,0.6206369605350459,0.4229695800550901,0.5839312704240883,DivideThePies3,Shochan,0.05846954356820788,nSNf4nAJ0,False,False,False,,8971050261492499856,0.8445117549126473,0.8454856735321259,0.988007524678174,1.0
17,Shochan,0.4229695800550901,0.24015350268590402,0.25016033266096593,0.7448929607930865,0.5839312704240883,DivideThePies3,UOAgent,10.315152756345924,n3AGBIsgv,False,False,False,,8971050261492499856,0.8445117549126473,0.8454856735321259,0.988007524678174,1.0
18,UOAgent,0.8106015158434796,0.5209143183374337,0.6185420529451096,0.7655514895955274,0.7880765027195036,S6,Shochan,0.014754046002053656,nFh3uPX9Y,False,False,False,,-985115075642385997,0.8953816200486371,0.831033573023155,0.999823922120684,1.0
19,Shochan,0.7655514895955274,0.13140475186614992,0.7300831328396493,0.8106015158434796,0.7880765027195036,S6,UOAgent,2.4144211283128243,nJYH3uqHn,False,False,False,,-985115075642385997,0.8953816200486371,0.831033573023155,0.999823922120684,1.0
20,RVFitter,0.5213956570697745,0.34365556411290143,0.2749296849463333,0.5966919073857347,0.5590437822277546,DivideThePies3,AwesomeNegotiator,0.04530228953808546,n6p2b8wSG,False,False,False,,7528311771524023090,0.9211824427857431,0.9203587009569867,0.9458980730119552,1.0
21,AwesomeNegotiator,0.5966919073857347,0.24015350268590402,0.48787703581453806,0.5213956570697745,0.5590437822277546,DivideThePies3,RVFitter,0.101788433486945,n1flNxGpr,False,False,False,,7528311771524023090,0.9211824427857431,0.9203587009569867,0.9458980730119552,1.0
22,AwesomeNegotiator,0.8261254594602245,0.3601466409842349,0.7282587672787517,0.1777308348070542,0.5019281471336394,S9,AwesomeNegotiator,0.050027012403006665,nolyyasrK,False,False,False,,6834817345370931816,0.7649032832837168,0.790815803008782,0.9673630107989645,1.0
23,AwesomeNegotiator,0.1777308348070542,0.1373045019914979,0.0468604889081708,0.8261254594602245,0.5019281471336394,S9,AwesomeNegotiator,0.04487276537111029,nLKYbVnZl,False,False,False,,6834817345370931816,0.7649032832837168,0.790815803008782,0.9673630107989645,1.0
24,RVFitter,0.4813374400882444,0.19652485722914453,0.3544759105762729,0.6365229842572333,0.5589302121727389,S4,AwesomeNegotiator,0.002385715939453803,nc2BIJD0a,False,False,False,,-7067159346129367924,0.9384898971017541,0.9384898971017541,0.9998374421550383,1.0
25,AwesomeNegotiator,0.6365229842572333,0.16424952297751227,0.565089071755341,0.4813374400882444,0.5589302121727389,S4,RVFitter,0.0023592909856233746,njTMLEwby,False,False,False,,-7067159346129367924,0.9384898971017541,0.9384898971017541,0.9998374421550383,1.0
26,Shochan,0.6784212192414283,0.6784212192414283,0.0,0.6026531277807107,0.6405371735110694,DivideThePies7,Shochan,0.36947554994549137,nltXfa0FT,False,False,False,,2099999734761290830,0.9335767690614442,0.9645924193873043,0.9295373429040124,0.9712353725454931
27,Shochan,0.6026531277807107,0.6026531277807107,0.0,0.6784212192414283,0.6405371735110694,DivideThePies7,Shochan,0.4623186367971357,ne1ACNJJF,False,False,False,,2099999734761290830,0.9335767690614442,0.9645924193873043,0.9295373429040124,0.9712353725454931
28,AwesomeNegotiator,0.315308153134893,0.027441839804024756,0.2959887902980134,0.7823227690580122,0.5488154610964526,S0,Shochan,0.006125680942204781,nZiBElFP9,False,False,False,,-8714848725672407424,0.9860007775949089,0.9654603291457927,0.9384949605259779,1.0
